Frame,A,B,C,D,E,F,G,H,I,J,K,L
58,148.268,151.944,114.758,127.514,90.8821,89.1178,88.0724,88.0858,147.269,138.364,103.847,104.204,
59,149.177,152.189,114.951,127.486,90.986,89.014,88.0724,88.0858,147.269,138.364,103.847,104.204,
60,149.189,152.224,114.827,127.328,91.084,88.916,88.0724,88.0858,147.269,138.364,103.847,104.204,
61,148.691,152.6,114.919,126.444,91.0304,88.9696,88.0724,88.0858,147.269,138.364,103.847,104.204,
62,148.698,151.943,114.778,127.735,91.2205,88.7795,88.0724,88.0858,147.269,138.364,103.847,104.204,
63,148.392,152.135,114.644,127.438,90.8644,89.1356,88.082,88.0869,147.268,138.37,103.854,104.207,
64,148.804,152.654,114.75,126.937,91.0333,88.9667,88.1403,88.0609,147.442,138.538,103.93,104.283,
65,149.413,152.536,115.205,127.581,91.1268,88.8732,88.1422,88.0597,147.447,138.543,103.933,104.286,
66,148.914,152.388,114.88,127.359,91.042,88.958,88.1426,88.0591,147.448,138.546,103.935,104.287,
67,149.212,152.134,114.825,127.344,91.0212,88.9788,88.1426,88.059,147.448,138.546,103.935,104.287,
68,148.525,152.082,115.33,127.395,91.216,88.784,88.1426,88.059,147.448,138.546,103.935,104.287,
69,148.716,152.52,115.025,126.599,91.1566,88.8434,88.1429,88.0584,147.447,138.548,103.937,104.288,
70,148.321,152.244,115.456,127.137,91.3936,88.6064,88.179,88.0006,147.512,138.568,103.957,104.353,
71,148.123,152.353,115.21,126.966,91.0089,88.9911,88.1794,87.9999,147.512,138.567,103.958,104.353,
72,149.225,152.591,114.918,126.336,91.4259,88.5741,88.1804,87.9977,147.517,138.571,103.959,104.355,
73,148.936,152.194,115.583,127.51,91.1222,88.8778,88.1805,87.9974,147.518,138.572,103.959,104.355,
74,148.829,152.552,115.401,126.804,91.3621,88.6379,88.1805,87.9974,147.518,138.572,103.959,104.355,
75,148.892,152.207,115.404,127.236,91.354,88.646,88.1806,87.9973,147.518,138.572,103.959,104.355,
76,148.996,152.3,115.55,127.234,91.4238,88.5762,88.1808,87.9969,147.518,138.572,103.959,104.356,
77,149.028,152.073,115.364,127.789,91.2148,88.7852,88.2906,87.9735,147.713,138.696,104.045,104.513,
78,147.334,152.175,115.919,127.161,91.1572,88.8427,88.6592,88.092,148.201,139.614,104.518,105.187,
79,147.475,151.611,115.32,128.085,90.9175,89.0825,88.6596,88.0957,148.196,139.608,104.521,105.189,
80,148.157,151.685,115.31,127.59,91.1731,88.8269,88.0206,88.2051,147.474,138.251,103.815,104.199,
81,147.207,151.921,115.542,127.82,90.5988,89.4012,88.3265,88.1076,148.397,139.473,104.034,104.606,
82,147.863,152.128,115.373,126.875,91.1236,88.8764,88.3268,88.1077,148.398,139.473,104.035,104.607,
83,147.677,152.15,115.239,127.005,90.8211,89.1789,88.564,88.1785,149.351,140.669,104.442,105.107,
84,147.244,151.936,115.149,126.915,91.1659,88.834,88.6294,88.2859,149.592,140.965,104.598,105.307,
85,147.069,151.656,115.485,127.429,91.1978,88.8022,88.6295,88.2865,149.591,140.963,104.598,105.307,
86,146.463,151.284,115.666,127.789,91.0702,88.9298,88.6888,88.3693,149.767,141.198,104.684,105.397,
87,146.816,151.448,115.307,127.556,90.9617,89.0383,88.6888,88.3693,149.767,141.198,104.684,105.397,
88,146.102,151.498,115.68,127.255,91.1153,88.8847,88.8244,88.2985,149.925,141.611,104.957,105.762,
89,145.734,150.883,115.584,128.157,90.7187,89.2813,88.8244,88.2985,149.925,141.611,104.957,105.762,
90,147.442,150.972,115.098,127.444,91.5261,88.4739,87.9705,88.5066,148.952,139.664,104.164,104.487,
91,147.274,150.956,114.962,127.942,91.1256,88.8744,88.1304,88.4662,148.916,139.7,104.263,104.598,
92,146.923,150.705,115.186,127.927,91.3962,88.6038,88.1304,88.4662,148.916,139.7,104.263,104.598,
93,147.125,150.908,115.132,127.831,91.2851,88.7149,88.2158,88.4251,148.542,139.501,104.338,104.7,
94,146.817,150.949,114.945,127.53,91.3593,88.6407,88.2161,88.4251,148.542,139.501,104.338,104.7,
95,145.6,150.962,116.032,127.615,91.2555,88.7445,88.2162,88.425,148.542,139.501,104.338,104.699,
96,146.466,149.986,115.293,125.972,91.0194,88.9807,88.4679,88.4701,150.058,142.337,105.345,105.916,
97,146.639,149.937,115.107,126.169,90.5901,89.4099,88.4708,88.469,150.062,142.336,105.346,105.919,
