Frame,A,B,C,D,E,F,G,H,I,J,K,L
0,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
1,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
2,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
3,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
4,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
5,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
6,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
7,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
8,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
9,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
10,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
11,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
12,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
13,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
14,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
15,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
16,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
17,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
18,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
19,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
20,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
21,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
22,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
23,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
24,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
25,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
26,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
27,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
28,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
29,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
30,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
31,142.959,141.682,131.12,123.299,90,90,92.228,92.624,144.959,149.597,107.515,106.177,
32,143.298,144.408,128.828,123.44,79.4336,85.1315,83.6321,84.083,144.962,149.6,107.515,106.176,
33,142.797,130.258,129.004,125.509,87.4164,89.4579,89.9639,90.6438,144.962,149.6,107.515,106.176,
34,147.073,139.923,126.792,122.312,83.8569,87.9442,91.6379,91.6628,144.962,149.6,107.515,106.176,
35,138.749,135.74,127.914,123.063,84.3952,87.999,85.7275,87.0551,144.962,149.6,107.515,106.176,
36,139.903,139.378,127.695,123.36,85.0665,89.6993,85.6815,86.9459,144.962,149.6,107.515,106.176,
37,139.146,135.038,127.468,122.605,85.7204,89.3559,90.99,91.4133,144.962,149.6,107.515,106.176,
38,145.251,135.484,128.399,124.247,85.803,88.9257,91.242,91.5746,144.962,149.6,107.515,106.176,
39,139.773,136.819,125.768,120.664,84.9237,89.3648,91.4035,91.6087,144.962,149.6,107.515,106.176,
40,142.752,144.491,128.466,123.255,79.8106,85.1163,83.1136,83.8314,144.962,149.6,107.515,106.176,
41,155.857,146.471,123.543,123.604,84.8148,88.7964,90.8641,91.2819,144.962,149.6,107.515,106.176,
42,135.341,130.265,129.423,124.728,86.7921,89.627,89.516,90.2858,144.962,149.6,107.515,106.176,
43,139.805,136.127,125.488,121.615,86.3348,90.2852,91.271,91.6784,144.962,149.6,107.515,106.176,
44,149.883,140.704,125.509,124.68,81.9594,87.9569,92.0017,91.9317,144.962,149.6,107.515,106.176,
45,138.514,131.601,126,125.609,82.0467,85.535,81.365,84.6223,144.962,149.6,107.515,106.176,
46,141.487,140.413,128.373,124.074,82.9687,87.1741,83.1442,84.6827,144.962,149.6,107.515,106.176,
47,141.425,142.221,127.449,121.664,85.2707,89.6507,88.2675,88.9476,144.962,149.6,107.515,106.176,
48,147.833,140.997,125.932,120.65,85.0425,87.6653,90.106,90.6343,144.962,149.6,107.515,106.176,
49,140.43,139.265,128.879,123.796,82.4686,87.2641,86.8181,87.5155,144.962,149.6,107.515,106.176,
50,139.655,136.838,125.447,120.723,84.9563,89.0112,91.1514,91.4187,144.962,149.6,107.515,106.176,
51,145.242,135.965,127.866,123.551,87.3339,89.7007,92.2497,92.4552,144.962,149.6,107.515,106.176,
52,146.016,139.358,124.84,119.763,84.2809,88.047,89.4934,90.0136,144.962,149.6,107.515,106.176,
53,140.438,137.442,128.643,124.166,83.3681,87.749,91.6579,91.694,144.962,149.6,107.515,106.176,
54,138.69,135.222,127.663,124.394,85.5318,89.4284,85.6197,87.3629,144.962,149.6,107.515,106.176,
55,144.166,135.017,127.962,123.022,87.2715,90.6634,90.3813,91.0543,144.962,149.601,107.515,106.176,
56,137.772,134.075,127.426,124.042,84.2098,88.3095,84.8248,86.6526,144.962,149.601,107.515,106.176,
