Frame,A,B,C,D,E,F,G,H,I,J,K,L
0,130.182,127.897,119.304,124.642,90,90,95.5407,96.8586,159.641,146.991,117.06,117.449,
1,131.85,129.473,118.082,122.05,90,90,95.8071,96.3966,158.442,145.693,117.618,117.891,
2,131.85,129.473,118.083,122.05,90,90,95.8071,96.3966,158.442,145.693,117.618,117.891,
3,131.85,129.473,118.083,122.051,90,90,95.8071,96.3966,158.442,145.693,117.618,117.891,
4,132.646,131.678,117.591,120.847,90,90,95.076,95.0625,156.75,144.634,116.732,116.926,
5,132.646,131.678,117.591,120.847,90,90,95.076,95.0625,156.75,144.634,116.732,116.926,
6,132.756,131.553,117.313,120.877,90,90,95.0168,95.0391,156.618,144.634,116.674,116.791,
7,133.185,131.465,117.76,121.172,90,90,94.7932,94.713,154.38,141.91,115.401,115.497,
8,133.185,131.466,117.759,121.17,90,90,94.7927,94.7128,154.381,141.911,115.401,115.497,
9,133.348,132.166,117.725,120.806,90,90,94.5981,94.6182,154.421,142.068,115.401,115.507,
10,133.349,132.166,117.725,120.806,90,90,94.598,94.6182,154.421,142.068,115.401,115.507,
11,135.809,133.546,117.999,121.108,90,90,92.9914,93.5135,150.403,138.515,112.855,112.752,
12,135.813,133.551,117.999,121.106,90,90,92.9867,93.5083,150.405,138.514,112.853,112.749,
13,135.891,133.582,118.014,121.069,90,90,92.9106,93.4275,150.412,138.452,112.793,112.687,
14,135.922,133.615,118.022,121.02,90,90,92.8886,93.3832,150.411,138.415,112.778,112.673,
15,135.924,133.616,118.022,121.025,90,90,92.8874,93.3803,150.411,138.414,112.777,112.672,
16,135.924,133.616,118.022,121.025,90,90,92.8874,93.3803,150.411,138.414,112.777,112.672,
17,135.924,133.616,118.022,121.025,90,90,92.8874,93.3803,150.411,138.414,112.777,112.672,
18,135.924,133.616,118.022,121.025,90,90,92.8874,93.3803,150.411,138.414,112.777,112.672,
19,135.924,133.616,118.022,121.025,90,90,92.8874,93.3803,150.411,138.414,112.777,112.672,
20,135.924,133.616,118.022,121.025,90,90,92.8874,93.3803,150.411,138.414,112.777,112.672,
21,135.924,133.616,118.022,121.025,90,90,92.8874,93.3803,150.411,138.414,112.777,112.672,
22,138.079,135.533,119.183,121.073,90,90,92.1846,92.4074,147.246,135.638,110.324,110.085,
23,138.079,135.534,119.183,121.074,90,90,92.1834,92.4068,147.247,135.639,110.324,110.085,
24,141.963,138.112,118.896,120.537,90,90,90.075,90.922,141.743,130.49,107.429,106.96,
25,141.931,138.752,118.951,120.748,90,90,89.847,90.3503,141.165,130.07,106.906,106.592,
26,142.005,138.772,118.644,120.799,90,90,89.5486,90.2192,140.858,129.518,106.832,106.461,
27,142.002,138.868,118.918,120.862,90,90,89.5062,90.0564,140.882,129.587,106.594,106.228,
28,141.679,138.805,118.544,121.176,90,90,89.6571,89.9791,141.375,130.076,106.739,106.552,
29,142.391,138.896,118.883,120.691,90,90,89.4484,90.1204,141.139,129.978,106.71,106.259,
30,142.302,138.875,118.648,120.692,90,90,89.6773,90.033,141.431,130.186,106.878,106.504,
31,142.3,138.877,118.647,120.679,90,90,89.6775,90.0344,141.428,130.18,106.879,106.506,
32,142.331,138.923,118.678,120.895,90,90,89.5468,90.0494,141.78,130.486,106.821,106.459,
33,142.801,139.021,118.707,120.733,90,90,89.2436,90.1261,141.09,129.699,106.593,106.009,
34,142.312,138.774,118.665,120.911,90,90,89.3321,90.0999,141.264,129.914,106.707,106.242,
35,142.045,138.778,118.768,121.156,90,90,89.4724,89.9868,141.551,130.099,106.646,106.266,
36,142.316,139.277,118.675,120.991,90,90,89.5713,89.966,141.758,130.494,106.623,106.312,
37,142.536,139.019,118.478,120.803,90,90,89.3826,89.9858,141.04,129.632,106.614,106.164,
38,142.544,139.029,118.482,120.818,90,90,89.3992,89.9633,141.086,129.64,106.605,106.167,
39,142.544,139.03,118.482,120.819,90,90,89.3996,89.9631,141.086,129.639,106.605,106.168,
40,142.499,139.412,118.55,120.844,90,90,89.537,89.9523,141.334,130.142,106.605,106.246,
41,142.499,139.412,118.55,120.844,90,90,89.5372,89.9525,141.333,130.14,106.605,106.246,
42,140.276,137.514,119.686,122.786,90,90,89.4192,90.3339,142.652,131.386,106.589,106.347,
43,141.566,138.242,119.379,121.982,90,90,89.1407,90.2741,141.609,130.316,106.368,105.928,
44,141.566,138.242,119.379,121.982,90,90,89.1407,90.274,141.609,130.316,106.368,105.928,
45,141.566,138.242,119.379,121.982,90,90,89.1407,90.274,141.609,130.316,106.368,105.928,
46,141.566,138.242,119.379,121.98,90,90,89.1408,90.2739,141.609,130.316,106.368,105.928,
47,141.566,138.242,119.379,121.98,90,90,89.1408,90.2739,141.609,130.316,106.368,105.928,
48,141.566,138.242,119.379,121.98,90,90,89.1408,90.2739,141.609,130.316,106.368,105.928,
49,141.566,138.242,119.379,121.98,90,90,89.1408,90.2739,141.609,130.316,106.368,105.928,
50,140.14,136.576,119.117,122.381,90,90,89.3536,90.6745,142.413,130.435,107.241,106.785,
51,140.14,136.576,119.117,122.376,90,90,89.354,90.6746,142.413,130.435,107.241,106.785,
52,140.14,136.576,119.117,122.376,90,90,89.354,90.6746,142.413,130.435,107.241,106.785,
53,140.134,136.59,119.118,122.351,90,90,89.3567,90.6739,142.414,130.424,107.241,106.792,
54,140.133,136.594,119.117,122.352,90,90,89.3573,90.6736,142.417,130.422,107.241,106.795,
55,140.133,136.594,119.117,122.352,90,90,89.3574,90.6736,142.417,130.422,107.241,106.795,
56,140.133,136.594,119.117,122.351,90,90,89.3574,90.6736,142.417,130.422,107.241,106.795,
57,140.133,136.594,119.117,122.351,90,90,89.3574,90.6736,142.417,130.422,107.241,106.795,
58,140.133,136.594,119.117,122.351,90,90,89.3574,90.6736,142.417,130.422,107.241,106.795,
59,136.818,134.321,116.986,121.189,90,90,90.9049,92.3998,144.291,131.933,110.558,110.312,
60,136.818,134.321,116.986,121.188,90,90,90.9054,92.4002,144.292,131.934,110.558,110.312,
61,136.818,134.321,116.986,121.186,90,90,90.9063,92.401,144.292,131.934,110.558,110.313,
62,136.818,134.321,116.986,121.186,90,90,90.9063,92.401,144.292,131.934,110.558,110.313,
63,135.858,133.2,117.151,121.023,90,90,91.3226,93.3261,144.502,132.102,111.182,110.653,
64,135.858,133.2,117.151,121.023,90,90,91.3226,93.3261,144.502,132.102,111.182,110.653,
65,135.858,133.2,117.151,121.023,90,90,91.3226,93.3261,144.502,132.102,111.182,110.653,
66,135.858,133.2,117.151,121.023,90,90,91.3227,93.3261,144.502,132.102,111.182,110.653,
67,131.603,130.536,118.472,122.713,90,90,92.4856,95.0046,149.822,137.813,113.298,113.245,
68,131.603,130.536,118.472,122.713,90,90,92.4856,95.0046,149.822,137.813,113.298,113.245,
69,131.603,130.536,118.472,122.712,90,90,92.4857,95.0047,149.822,137.812,113.298,113.246,
70,131.603,130.536,118.472,122.712,90,90,92.4857,95.0047,149.822,137.812,113.298,113.246,
71,131.603,130.536,118.472,122.712,90,90,92.4857,95.0047,149.822,137.812,113.298,113.246,
72,131.603,130.536,118.472,122.712,90,90,92.4857,95.0047,149.822,137.812,113.298,113.246,
73,131.603,130.536,118.472,122.712,90,90,92.4857,95.0047,149.822,137.812,113.298,113.246,
74,131.603,130.536,118.472,122.712,90,90,92.4857,95.0047,149.822,137.812,113.298,113.246,
75,131.603,130.536,118.472,122.712,90,90,92.4857,95.0047,149.822,137.812,113.298,113.246,
76,131.603,130.536,118.472,122.712,90,90,92.4857,95.0047,149.822,137.812,113.298,113.246,
77,127.997,128.887,119.229,123.648,90,90,93.8452,96.2326,153.412,142.74,115.04,115.277,
78,127.997,128.887,119.229,123.648,90,90,93.8452,96.2326,153.412,142.74,115.04,115.277,
79,127.997,128.887,119.229,123.648,90,90,93.8452,96.2326,153.412,142.74,115.04,115.277,
80,127.997,128.887,119.229,123.648,90,90,93.8452,96.2326,153.412,142.74,115.04,115.277,
