Frame,A,B,C,D,E,F,G,H,I,J,K,L
64,134.47,164.488,113.269,122.196,90,90,90.7853,94.0382,137.39,140.612,122.537,121.542,
65,135.98,165.769,112.25,118.285,90,90,90.7326,94.1131,137.215,141.573,122.614,122.013,
66,136.207,166.327,111.684,117.838,90,90,91.2456,93.8165,137.816,141.386,122.652,122.22,
67,136.206,166.327,111.684,117.838,90,90,91.2457,93.8166,137.816,141.386,122.652,122.22,
68,132.154,168.228,110.679,117.716,90,90,91.2099,93.8338,137.468,141.877,121.969,122.023,
69,132.164,168.232,110.662,117.716,90,90,91.2112,93.8361,137.464,141.878,121.968,122.024,
70,132.164,168.232,110.661,117.716,90,90,91.2116,93.8362,137.464,141.878,121.968,122.024,
71,136.513,169.619,109.908,116.853,90,90,92.2044,93.6934,137.64,142.676,121.821,121.852,
72,136.51,169.702,109.605,116.886,90,90,92.1729,93.59,137.06,142.829,121.789,121.767,
73,136.52,169.703,109.603,116.889,90,90,92.1691,93.5865,137.05,142.828,121.787,121.768,
74,136.52,169.703,109.602,116.889,90,90,92.1691,93.5864,137.05,142.828,121.787,121.768,
75,136.52,169.703,109.602,116.889,90,90,92.1691,93.5865,137.05,142.828,121.787,121.768,
76,136.52,169.703,109.602,116.889,90,90,92.1691,93.5865,137.05,142.828,121.787,121.768,
77,136.52,169.703,109.602,116.889,90,90,92.1691,93.5865,137.05,142.828,121.787,121.768,
78,134.295,162.455,110.246,119.037,90,90,92.6858,93.1882,136.009,142.33,121.619,121.565,
79,134.301,162.46,110.242,119.038,90,90,92.6857,93.1879,136.006,142.325,121.621,121.567,
80,134.301,162.46,110.24,119.038,90,90,92.6858,93.1881,136.006,142.325,121.621,121.567,
81,134.301,162.46,110.24,119.038,90,90,92.6858,93.1881,136.006,142.325,121.621,121.567,
82,134.301,162.46,110.24,119.038,90,90,92.6858,93.1881,136.006,142.325,121.621,121.567,
83,134.344,162.521,110.376,119.086,90,90,92.7167,93.2332,136.073,142.307,121.612,121.627,
84,134.344,162.521,110.376,119.086,90,90,92.7167,93.2332,136.073,142.307,121.612,121.627,
85,135.314,166.659,111.465,117.299,90,90,92.4073,93.4528,136.147,142.451,121.157,121.42,
86,135.314,166.66,111.464,117.299,90,90,92.4076,93.4531,136.147,142.451,121.157,121.42,
87,135.345,166.671,111.362,117.31,90,90,92.4238,93.4753,136.133,142.428,121.156,121.427,
88,137.013,170.52,112.991,116.855,90,90,92.982,93.1275,136.298,142.253,121.187,121.209,
