Frame,A,B,C,D,E,F,G,H,I,J,K,L
58,147.13,151.67,119.374,118.727,89.9921,90.0079,92.9787,94.5364,157.647,167.11,105.044,105.561,
59,147.13,170.009,119.374,110.294,90.0104,89.9896,91.313,96.3846,157.753,166.36,105.044,105.561,
60,147.13,166.449,119.374,111.29,90.0044,89.9956,91.4577,96.2565,157.446,166.261,105.044,105.561,
61,147.13,173.502,119.374,110.823,90.0036,89.9963,91.7765,96.0066,157.441,166.34,105.044,105.561,
62,147.13,151.125,119.374,118.751,89.9496,90.0504,93.2924,94.255,156.881,167.21,105.044,105.561,
63,147.13,151.211,119.374,118.38,89.9472,90.0528,93.4494,94.0938,156.485,166.827,105.044,105.561,
64,147.13,154.608,119.374,114.854,89.9387,90.0613,93.3073,94.1866,156.628,167.123,105.044,105.561,
65,147.13,151.076,119.374,120.228,89.9126,90.0874,93.3173,94.091,155.763,166.642,105.044,105.561,
66,147.775,155.658,119.141,115.146,89.9072,90.0928,94.377,93.9741,154.819,165.755,103.996,104.69,
67,147.775,152.686,119.141,118.587,89.9226,90.0774,94.1749,94.2386,154.818,165.463,103.996,104.69,
68,147.775,153.751,119.141,118.278,89.9445,90.0555,93.2749,95.2584,154.423,164.648,103.996,104.69,
69,152.449,151.825,118.09,119.504,89.9831,90.0169,93.7772,92.9771,155.115,167.459,103.99,104.684,
70,153.045,150.235,118.783,118.871,90.0038,89.9962,93.8859,92.8356,155.211,167.543,103.99,104.684,
71,147.847,150.914,119.136,117.906,89.978,90.022,95.1008,91.7837,154.715,167.287,103.989,104.684,
72,159.475,152.191,119.916,109.537,90.0088,89.9912,94.1212,89.1532,155.278,160.142,103.886,103.509,
73,156.527,141.99,114.224,119.222,90.0091,89.9909,93.8014,91.621,153.417,159.29,106.891,107.704,
74,158.534,150.968,131.743,118.729,90,90,96.7428,88.8638,136.837,156.808,100.273,102.411,
75,148.235,149.435,128.787,120.973,90,90,94.0374,87.5372,141.057,160.176,100.567,103.594,
76,164.44,147.867,128.186,117.289,90,90,90.8223,88.992,131.406,153.178,95.4685,98.8031,
77,162.399,148.276,128.969,118.037,90,90,90.8812,88.4186,130.2,150.425,94.4653,98.6103,
78,151.277,146.093,123.034,123.21,90,90,88.5131,86.4116,154.708,159.605,99.8496,104.156,
79,155.674,155.258,118.018,117.808,90,90,94.5931,94.2896,167.263,169.771,105.522,105.697,
80,154.6,159.869,118.124,117.301,90,90,95.3904,93.7645,169.99,177.23,105.314,106.442,
81,157.163,159.373,120.085,118.578,90,90,94.5802,93.0568,152.19,176.535,101.51,101.722,
82,157.281,155.068,119.241,117.643,90,90,94.4364,92.6487,156.212,176.118,103.209,103.087,
83,157.289,155.049,119.24,117.643,90,90,94.4273,92.6417,156.222,176.109,103.206,103.086,
84,157.268,155.024,119.24,117.637,90,90,94.4202,92.6334,156.221,176.095,103.205,103.086,
85,157.264,155.025,119.24,117.637,90,90,94.4197,92.6329,156.221,176.094,103.205,103.086,
86,156.929,155.18,119.251,117.616,90,90,94.4185,92.6083,156.189,176.086,103.223,103.083,
87,156.811,155.238,119.27,117.6,90,90,94.4195,92.5927,156.166,176.086,103.237,103.08,
88,156.762,155.266,119.282,117.59,90,90,94.42,92.5835,156.151,176.085,103.244,103.079,
89,156.761,155.264,119.283,117.589,90,90,94.42,92.5832,156.151,176.085,103.245,103.079,
90,156.761,155.264,119.283,117.589,90,90,94.42,92.5832,156.151,176.085,103.245,103.079,
