Frame,A,B,C,D,E,F,G,H,I,J,K,L
58,152.901,156.706,118.206,114.727,90.006,89.994,92.2956,89.2359,157.775,159.648,103.841,105.583,
59,153.118,155.587,118.376,114.606,90.007,89.993,92.262,89.2639,158.311,158.864,104.176,105.706,
60,153.12,155.593,118.375,114.606,90.0069,89.9931,92.2618,89.2639,158.312,158.864,104.176,105.706,
61,153.089,155.58,118.362,114.594,90.0074,89.9926,92.2628,89.2604,158.322,158.855,104.193,105.716,
62,153.09,155.587,118.36,114.593,90.0073,89.9927,92.2628,89.2599,158.324,158.855,104.194,105.716,
63,153.09,155.587,118.36,114.593,90.0073,89.9927,92.2628,89.2599,158.324,158.855,104.194,105.716,
64,153.09,155.587,118.36,114.593,90.0073,89.9927,92.2628,89.2599,158.324,158.855,104.194,105.716,
65,153.542,156.204,118.356,114.539,90.0076,89.9924,92.2711,89.3245,158.052,159.088,103.939,105.637,
66,153.399,156.245,118.363,114.565,90.0088,89.9912,92.2763,89.3328,158.049,159.088,103.946,105.626,
67,152.918,157.917,139.289,117.83,90.0064,89.9936,95.4603,91.0141,154.881,154.169,99.3138,104.145,
68,141.631,154.419,127.687,124.905,90.2029,89.7971,86.577,110.617,167.699,130.867,98.3372,105.35,
